freq_GHz,a,b,D,C,p_opt1,p_opt2,sigma2_1,sigma2_2,mu
170.00,3.7713,3.7713,500,415513438.827445,1.000000,0.000000,0.000000,0.000000,1.099758
170.00,3.7808,3.7808,500,405610873.410244,0.951273,0.048727,0.000000,0.000000,1.057778
170.00,3.7903,3.7903,500,413419416.216525,0.703960,0.296040,0.000000,0.000000,0.821903
170.00,3.7998,3.7998,500,429728929.931973,0.596981,0.403019,0.000000,0.000000,0.733033
170.00,3.8093,3.8093,500,440803224.816139,0.533889,0.466111,0.000000,0.000000,0.698459
170.00,3.8188,3.8188,500,442470049.748302,0.516803,0.483197,0.000000,0.000000,0.694127
170.00,3.8283,3.8283,500,434209409.962175,0.573725,0.426275,0.000000,0.000000,0.717646
170.00,3.8378,3.8378,500,418616822.694165,0.662047,0.337953,0.000000,0.000000,0.784856
170.00,3.8473,3.8473,500,405421497.074830,0.848911,0.151089,0.000000,0.000000,0.958302
170.00,3.8569,3.8569,500,413164343.201490,1.000000,0.000000,0.000000,0.000000,1.101259
170.00,3.8664,3.8664,500,419690860.174153,1.000000,0.000000,0.000000,0.000000,1.097148
170.00,3.8759,3.8759,500,420769739.897569,1.000000,0.000000,0.000000,0.000000,1.096487
170.00,3.8854,3.8854,500,416388130.222596,1.000000,0.000000,0.000000,0.000000,1.099205
170.00,3.8949,3.8949,500,406408103.470388,0.989544,0.010456,0.000000,0.000000,1.095269
170.00,3.9044,3.9044,500,412489094.743692,0.713122,0.286878,0.000000,0.000000,0.830220
170.00,3.9139,3.9139,500,429287118.173267,0.599285,0.400715,0.000000,0.000000,0.734677
170.00,3.9234,3.9234,500,440805979.407049,0.533864,0.466136,0.000000,0.000000,0.698451
170.00,3.9329,3.9329,500,442360878.861870,0.518347,0.481653,0.000000,0.000000,0.694404
170.00,3.9424,3.9424,500,433431109.030139,0.577795,0.422205,0.000000,0.000000,0.720162
170.00,3.9520,3.9520,500,417091870.921052,0.673089,0.326911,0.000000,0.000000,0.794428
170.00,3.9615,3.9615,500,405099187.761308,0.885926,0.114074,0.000000,0.000000,0.994105
170.00,3.9710,3.9710,500,414479939.415227,1.000000,0.000000,0.000000,0.000000,1.100415
170.00,3.9805,3.9805,500,420278334.941119,1.000000,0.000000,0.000000,0.000000,1.096788
170.00,3.9900,3.9900,500,420314969.778780,1.000000,0.000000,0.000000,0.000000,1.096765
170.00,3.9995,3.9995,500,414549260.415872,1.000000,0.000000,0.000000,0.000000,1.100371
170.00,4.0090,4.0090,500,405100198.875297,0.885384,0.114616,0.000000,0.000000,0.993579
170.00,4.0185,4.0185,500,417371236.075359,0.671001,0.328999,0.000000,0.000000,0.792607
170.00,4.0280,4.0280,500,433905531.486836,0.575316,0.424684,0.000000,0.000000,0.718620
170.00,4.0375,4.0375,500,442570742.892891,0.515229,0.484771,0.000000,0.000000,0.693869
170.00,4.0470,4.0470,500,440154041.830998,0.538808,0.461192,0.000000,0.000000,0.700196
170.00,4.0566,4.0566,500,427338280.319442,0.609595,0.390405,0.000000,0.000000,0.742253
170.00,4.0661,4.0661,500,410045290.611687,0.741362,0.258638,0.000000,0.000000,0.856214
170.00,4.0756,4.0756,500,408931408.207932,1.000000,0.000000,0.000000,0.000000,1.104026
170.00,4.0851,4.0851,500,418036597.150307,1.000000,0.000000,0.000000,0.000000,1.098173
170.00,4.0946,4.0946,500,421015360.528285,1.000000,0.000000,0.000000,0.000000,1.096337
170.00,4.1041,4.1041,500,417909938.723839,1.000000,0.000000,0.000000,0.000000,1.098252
170.00,4.1136,4.1136,500,408588254.360388,1.000000,0.000000,0.000000,0.000000,1.104254
170.00,4.1231,4.1231,500,410639659.697515,0.733796,0.266204,0.000000,0.000000,0.849203
170.00,4.1326,4.1326,500,428269223.649353,0.604634,0.395366,0.000000,0.000000,0.738565
170.00,4.1421,4.1421,500,440742641.105093,0.534361,0.465639,0.000000,0.000000,0.698618
170.00,4.1517,4.1517,500,442169060.370411,0.520800,0.479200,0.000000,0.000000,0.694893
170.00,4.1612,4.1612,500,432006369.240668,0.585177,0.414823,0.000000,0.000000,0.724929
170.00,4.1707,4.1707,500,414396338.372765,0.695006,0.304994,0.000000,0.000000,0.813841
170.00,4.1802,4.1802,500,405928527.982940,0.968445,0.031555,0.000000,0.000000,1.074585
170.00,4.1897,4.1897,500,416590638.727981,1.000000,0.000000,0.000000,0.000000,1.099078
170.00,4.1992,4.1992,500,420915899.769768,1.000000,0.000000,0.000000,0.000000,1.096397
170.00,4.2087,4.2087,500,418841133.463240,1.000000,0.000000,0.000000,0.000000,1.097673
170.00,4.2182,4.2182,500,410259794.717897,1.000000,0.000000,0.000000,0.000000,1.103149
170.00,4.2277,4.2277,500,408981978.186087,0.756447,0.243553,0.000000,0.000000,0.870282
170.00,4.2372,4.2372,500,426785859.174556,0.612569,0.387431,0.000000,0.000000,0.744501
170.00,4.2467,4.2467,500,440265786.724123,0.537988,0.462012,0.000000,0.000000,0.699893
170.00,4.2563,4.2563,500,442327927.958500,0.518774,0.481226,0.000000,0.000000,0.694486
170.00,4.2658,4.2658,500,432175556.041411,0.584301,0.415699,0.000000,0.000000,0.724350
170.00,4.2753,4.2753,500,414150496.066921,0.697195,0.302805,0.000000,0.000000,0.815806
170.00,4.2848,4.2848,500,406347110.384829,0.987107,0.012893,0.000000,0.000000,1.092879
170.00,4.2943,4.2943,500,417057660.607489,1.000000,0.000000,0.000000,0.000000,1.098784
170.00,4.3038,4.3038,500,420990346.556501,1.000000,0.000000,0.000000,0.000000,1.096352
170.00,4.3133,4.3133,500,418200283.291291,1.000000,0.000000,0.000000,0.000000,1.098071
170.00,4.3228,4.3228,500,408553837.744986,1.000000,0.000000,0.000000,0.000000,1.104277
170.00,4.3323,4.3323,500,411482767.740825,0.723890,0.276110,0.000000,0.000000,0.840074
170.00,4.3418,4.3418,500,429972703.086780,0.595702,0.404298,0.000000,0.000000,0.732130
170.00,4.3514,4.3514,500,441739349.059682,0.525530,0.474470,0.000000,0.000000,0.695999
170.00,4.3609,4.3609,500,440985233.115432,0.532389,0.467611,0.000000,0.000000,0.697973
170.00,4.3704,4.3704,500,427912809.587525,0.606520,0.393480,0.000000,0.000000,0.739959
170.00,4.3799,4.3799,500,409427350.007557,0.749841,0.250159,0.000000,0.000000,0.864108
170.00,4.3894,4.3894,500,410347231.360970,1.000000,0.000000,0.000000,0.000000,1.103091
170.00,4.3989,4.3989,500,419098879.598934,1.000000,0.000000,0.000000,0.000000,1.097514
170.00,4.4084,4.4084,500,420774217.151439,1.000000,0.000000,0.000000,0.000000,1.096484
170.00,4.4179,4.4179,500,415382626.132473,1.000000,0.000000,0.000000,0.000000,1.099841
170.00,4.4274,4.4274,500,405103779.395585,0.883479,0.116521,0.000000,0.000000,0.991732
170.00,4.4369,4.4369,500,419325675.450340,0.657160,0.342840,0.000000,0.000000,0.780674
170.00,4.4464,4.4464,500,436596174.265719,0.560844,0.439156,0.000000,0.000000,0.710279
170.00,4.4560,4.4560,500,443038349.426354,0.501515,0.498485,0.000000,0.000000,0.692686
170.00,4.4655,4.4655,500,435880369.759803,0.564787,0.435213,0.000000,0.000000,0.712433
170.00,4.4750,4.4750,500,418124031.203075,0.665512,0.334488,0.000000,0.000000,0.787845
170.00,4.4845,4.4845,500,405154548.938528,0.911991,0.088009,0.000000,0.000000,1.019442
170.00,4.4940,4.4940,500,416136250.338453,1.000000,0.000000,0.000000,0.000000,1.099364
170.00,4.5035,4.5035,500,420930118.368999,1.000000,0.000000,0.000000,0.000000,1.096389
170.00,4.5130,4.5130,500,418360023.393983,1.000000,0.000000,0.000000,0.000000,1.097972
170.00,4.5225,4.5225,500,408289411.364656,1.000000,0.000000,0.000000,0.000000,1.104453
170.00,4.5320,4.5320,500,412622112.616230,0.711748,0.288252,0.000000,0.000000,0.828970
